pickup_longitude,pickup_latitude,region
-73.97811126708984,40.74256134033203,0
-73.9837646484375,40.744007110595696,0
-73.98346710205078,40.74404144287109,0
-73.97532653808595,40.747608184814446,0
-73.97801971435547,40.74187088012695,0
-73.9803009033203,40.74271011352539,0
-73.97657775878906,40.739776611328125,0
-73.97857666015625,40.74509048461913,0
-73.97537994384764,40.74459457397461,0
-73.97612762451173,40.740760803222656,0
-73.97720336914062,40.7432098388672,0
-73.97968292236328,40.74660873413086,0
-73.97792053222656,40.745906829833984,0
-73.97563934326173,40.7493896484375,0
-73.9832534790039,40.73883819580078,0
-73.97833251953125,40.74541473388672,0
-73.97631072998048,40.73966217041016,0
-73.98025512695312,40.73854064941406,0
-73.97962188720702,40.7454833984375,0
-73.98027801513672,40.745582580566406,0
-73.98069763183594,40.74274444580078,0
-73.9725570678711,40.7435302734375,0
-73.97438049316406,40.74824142456056,0
-73.98020935058595,40.73881149291992,0
-73.98334503173827,40.73900604248047,0
-73.97402954101561,40.74720764160156,0
-73.9727020263672,40.7434959411621,0
-73.98213195800781,40.74402618408203,0
-73.97959136962889,40.73992919921875,0
-73.97359466552734,40.74384689331056,0
-73.9817123413086,40.74070358276367,0
-73.9837188720703,40.73914337158203,0
-73.98294830322266,40.74484252929688,0
-73.98131561279298,40.73710632324219,0
-73.98416900634764,40.743350982666016,0
-73.98372650146483,40.74245071411133,0
-73.97267913818358,40.74620056152344,0
-73.97744750976561,40.74558639526367,0
-73.97660064697266,40.74830627441406,0
-73.9754638671875,40.749038696289055,0
-73.98210906982422,40.740333557128906,0
-73.98055267333984,40.73817825317384,0
-73.97677612304686,40.74751663208008,0
-73.98072814941406,40.74604034423828,0
-73.97525787353516,40.74148178100586,0
-73.97256469726561,40.746376037597656,0
-73.95379638671875,40.743560791015625,0
-73.97565460205078,40.74901580810546,0
-73.97557067871092,40.74907684326172,0
-73.97916412353516,40.743953704833984,0
-73.97870635986328,40.74515151977539,0
-73.98204040527344,40.7459716796875,0
-73.98304748535155,40.74384307861328,0
-73.9758071899414,40.74075698852539,0
-73.9789810180664,40.74066925048828,0
-73.98332977294923,40.74390411376953,0
-73.98102569580078,40.74196243286133,0
-73.9732894897461,40.74429702758789,0
-73.97652435302734,40.747608184814446,0
-73.97570037841797,40.74756240844727,0
-73.98207092285155,40.745723724365234,0
-73.98198699951173,40.74029922485352,0
-73.98070526123048,40.74203872680664,0
-73.9758071899414,40.740535736083984,0
-73.97319793701173,40.74399566650391,0
-73.98331451416014,40.74129867553711,0
-73.98347473144531,40.74393081665039,0
-73.97137451171875,40.746826171875,0
-73.97372436523438,40.73859786987305,0
-73.97891235351561,40.74531173706056,0
-73.98184967041014,40.740867614746094,0
-73.9827880859375,40.73958587646485,0
-73.98316192626953,40.74440002441406,0
-73.97602081298828,40.744571685791016,0
-73.97994232177734,40.74332046508789,0
-73.97882843017578,40.74763488769531,0
-73.98236083984375,40.73971176147461,0
-73.9739532470703,40.744178771972656,0
-73.97564697265625,40.74471282958984,0
-73.98023223876953,40.74409866333008,0
-73.9840316772461,40.74380493164063,0
-73.97609710693358,40.74483871459961,0
-73.9754409790039,40.74113082885742,0
-73.97905731201173,40.73610305786133,0
-73.9775390625,40.746490478515625,0
-73.97808074951173,40.74203872680664,0
-73.97910308837889,40.7361717224121,0
-73.95201110839844,40.7429084777832,0
-73.97682189941406,40.74761962890625,0
-73.97675323486328,40.73956680297852,0
-73.97147369384764,40.74660873413086,0
-73.97225189208984,40.7454948425293,0
-73.9733123779297,40.74391174316406,0
-73.97953033447266,40.74399185180664,0
-73.976318359375,40.7402458190918,0
-73.9818115234375,40.74037170410156,0
-73.97496032714845,40.74168014526367,0
-73.97477722167967,40.74193954467773,0
-73.97673797607422,40.7436408996582,0
-73.97347259521484,40.747840881347656,0
-73.9771957397461,40.747085571289055,0
-73.97589874267578,40.74503326416016,0
-73.97493743896483,40.74045181274414,0
-73.9794921875,40.73989868164063,0
-73.9747314453125,40.74202728271485,0
-73.97468566894531,40.7420310974121,0
-73.9752197265625,40.741355895996094,0
-73.9815673828125,40.73823928833008,0
-73.98360443115233,40.74384307861328,0
-73.97796630859375,40.746543884277344,0
-73.9822006225586,40.74037170410156,0
-73.97170257568358,40.748165130615234,0
-73.9810791015625,40.74220657348633,0
-73.97368621826173,40.747608184814446,0
-73.97942352294923,40.74407577514648,0
-73.97217559814453,40.74627304077149,0
-73.9766082763672,40.73929214477539,0
-73.9794921875,40.74687194824219,0
-73.9817886352539,40.74627685546875,0
-73.97703552246092,40.74357223510742,0
-73.97889709472656,40.74064636230469,0
